"GroupID","GroupName","Department","GroupType","Description","Status"
"GRP-0348","GRP-Operations-0348","Operations","Distribution","Operations Department Group","Active"
"GRP-0349","GRP-IT-0349","IT","Security","IT Department Group","Active"
"GRP-0350","GRP-Sales-0350","Sales","Distribution","Sales Department Group","Active"
"GRP-0351","GRP-Engineering-0351","Engineering","Security","Engineering Department Group","Active"
"GRP-0352","GRP-Sales-0352","Sales","Security","Sales Department Group","Active"
"GRP-0353","GRP-Legal-0353","Legal","Security","Legal Department Group","Active"
"GRP-0354","GRP-Marketing-0354","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0355","GRP-Sales-0355","Sales","Security","Sales Department Group","Active"
"GRP-0356","GRP-Sales-0356","Sales","Security","Sales Department Group","Active"
"GRP-0357","GRP-Finance-0357","Finance","Security","Finance Department Group","Active"
"GRP-0358","GRP-Marketing-0358","Marketing","Security","Marketing Department Group","Active"
"GRP-0359","GRP-IT-0359","IT","Security","IT Department Group","Active"
"GRP-0360","GRP-Finance-0360","Finance","Distribution","Finance Department Group","Active"
"GRP-0361","GRP-Sales-0361","Sales","Distribution","Sales Department Group","Active"
"GRP-0362","GRP-Sales-0362","Sales","Security","Sales Department Group","Active"
"GRP-0363","GRP-HR-0363","HR","Security","HR Department Group","Active"
"GRP-0364","GRP-HR-0364","HR","Security","HR Department Group","Active"
"GRP-0365","GRP-Security-0365","Security","Distribution","Security Department Group","Active"
"GRP-0366","GRP-Operations-0366","Operations","Distribution","Operations Department Group","Active"
"GRP-0367","GRP-IT-0367","IT","Security","IT Department Group","Active"
"GRP-0368","GRP-IT-0368","IT","Distribution","IT Department Group","Active"
"GRP-0369","GRP-HR-0369","HR","Security","HR Department Group","Active"
"GRP-0370","GRP-Finance-0370","Finance","Security","Finance Department Group","Active"
"GRP-0371","GRP-Finance-0371","Finance","Distribution","Finance Department Group","Active"
"GRP-0372","GRP-Engineering-0372","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0373","GRP-Security-0373","Security","Distribution","Security Department Group","Active"
"GRP-0374","GRP-Engineering-0374","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0375","GRP-Marketing-0375","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0376","GRP-CustomerSuccess-0376","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0377","GRP-Legal-0377","Legal","Distribution","Legal Department Group","Active"
"GRP-0378","GRP-Sales-0378","Sales","Security","Sales Department Group","Active"
"GRP-0379","GRP-Security-0379","Security","Security","Security Department Group","Active"
"GRP-0380","GRP-Security-0380","Security","Distribution","Security Department Group","Active"
"GRP-0381","GRP-Security-0381","Security","Distribution","Security Department Group","Active"
"GRP-0382","GRP-Operations-0382","Operations","Distribution","Operations Department Group","Active"
"GRP-0383","GRP-IT-0383","IT","Security","IT Department Group","Active"
"GRP-0384","GRP-IT-0384","IT","Security","IT Department Group","Active"
"GRP-0385","GRP-Sales-0385","Sales","Distribution","Sales Department Group","Active"
"GRP-0386","GRP-Security-0386","Security","Security","Security Department Group","Active"
"GRP-0387","GRP-Finance-0387","Finance","Distribution","Finance Department Group","Active"
"GRP-0388","GRP-Security-0388","Security","Distribution","Security Department Group","Active"
"GRP-0389","GRP-Legal-0389","Legal","Security","Legal Department Group","Active"
"GRP-0390","GRP-Operations-0390","Operations","Distribution","Operations Department Group","Active"
"GRP-0391","GRP-Operations-0391","Operations","Security","Operations Department Group","Active"
"GRP-0392","GRP-Sales-0392","Sales","Security","Sales Department Group","Active"
"GRP-0393","GRP-Sales-0393","Sales","Distribution","Sales Department Group","Active"
"GRP-0394","GRP-HR-0394","HR","Distribution","HR Department Group","Active"
"GRP-0395","GRP-IT-0395","IT","Distribution","IT Department Group","Active"
"GRP-0396","GRP-Operations-0396","Operations","Security","Operations Department Group","Active"
"GRP-0397","GRP-Finance-0397","Finance","Security","Finance Department Group","Active"
"GRP-0398","GRP-Engineering-0398","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0399","GRP-Operations-0399","Operations","Distribution","Operations Department Group","Active"
"GRP-0400","GRP-Sales-0400","Sales","Security","Sales Department Group","Active"
"GRP-0401","GRP-Legal-0401","Legal","Security","Legal Department Group","Active"
"GRP-0402","GRP-Finance-0402","Finance","Distribution","Finance Department Group","Active"
"GRP-0403","GRP-Security-0403","Security","Security","Security Department Group","Active"
"GRP-0404","GRP-Security-0404","Security","Security","Security Department Group","Active"
"GRP-0405","GRP-Security-0405","Security","Security","Security Department Group","Active"
"GRP-0406","GRP-IT-0406","IT","Security","IT Department Group","Active"
"GRP-0407","GRP-CustomerSuccess-0407","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0408","GRP-IT-0408","IT","Security","IT Department Group","Active"
"GRP-0409","GRP-HR-0409","HR","Distribution","HR Department Group","Active"
"GRP-0410","GRP-Operations-0410","Operations","Distribution","Operations Department Group","Active"
"GRP-0411","GRP-IT-0411","IT","Distribution","IT Department Group","Active"
"GRP-0412","GRP-IT-0412","IT","Security","IT Department Group","Active"
"GRP-0413","GRP-Engineering-0413","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0414","GRP-Engineering-0414","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0415","GRP-Operations-0415","Operations","Security","Operations Department Group","Active"
"GRP-0416","GRP-Operations-0416","Operations","Distribution","Operations Department Group","Active"
"GRP-0417","GRP-Operations-0417","Operations","Distribution","Operations Department Group","Active"
"GRP-0418","GRP-HR-0418","HR","Security","HR Department Group","Active"
"GRP-0419","GRP-Engineering-0419","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0420","GRP-HR-0420","HR","Security","HR Department Group","Active"
"GRP-0421","GRP-Operations-0421","Operations","Security","Operations Department Group","Active"
"GRP-0422","GRP-HR-0422","HR","Distribution","HR Department Group","Active"
"GRP-0423","GRP-Legal-0423","Legal","Security","Legal Department Group","Active"
"GRP-0424","GRP-Operations-0424","Operations","Distribution","Operations Department Group","Active"
"GRP-0425","GRP-IT-0425","IT","Distribution","IT Department Group","Active"
"GRP-0426","GRP-Security-0426","Security","Security","Security Department Group","Active"
"GRP-0427","GRP-Legal-0427","Legal","Security","Legal Department Group","Active"
"GRP-0428","GRP-Security-0428","Security","Security","Security Department Group","Active"
"GRP-0429","GRP-HR-0429","HR","Security","HR Department Group","Active"
"GRP-0430","GRP-Finance-0430","Finance","Distribution","Finance Department Group","Active"
"GRP-0431","GRP-IT-0431","IT","Distribution","IT Department Group","Active"
"GRP-0432","GRP-IT-0432","IT","Security","IT Department Group","Active"
"GRP-0433","GRP-Sales-0433","Sales","Security","Sales Department Group","Active"
"GRP-0434","GRP-Marketing-0434","Marketing","Security","Marketing Department Group","Active"
"GRP-0435","GRP-Legal-0435","Legal","Distribution","Legal Department Group","Active"
"GRP-0436","GRP-CustomerSuccess-0436","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0437","GRP-HR-0437","HR","Distribution","HR Department Group","Active"
"GRP-0438","GRP-Security-0438","Security","Distribution","Security Department Group","Active"
"GRP-0439","GRP-CustomerSuccess-0439","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0440","GRP-Marketing-0440","Marketing","Security","Marketing Department Group","Active"
"GRP-0441","GRP-CustomerSuccess-0441","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0442","GRP-HR-0442","HR","Distribution","HR Department Group","Active"
"GRP-0443","GRP-Finance-0443","Finance","Security","Finance Department Group","Active"
"GRP-0444","GRP-HR-0444","HR","Distribution","HR Department Group","Active"
"GRP-0445","GRP-HR-0445","HR","Security","HR Department Group","Active"
"GRP-0446","GRP-Sales-0446","Sales","Security","Sales Department Group","Active"
"GRP-0447","GRP-Legal-0447","Legal","Distribution","Legal Department Group","Active"
"GRP-0448","GRP-CustomerSuccess-0448","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0449","GRP-Operations-0449","Operations","Security","Operations Department Group","Active"
"GRP-0450","GRP-Finance-0450","Finance","Distribution","Finance Department Group","Active"
"GRP-0451","GRP-IT-0451","IT","Distribution","IT Department Group","Active"
"GRP-0452","GRP-HR-0452","HR","Distribution","HR Department Group","Active"
"GRP-0453","GRP-IT-0453","IT","Security","IT Department Group","Active"
"GRP-0454","GRP-CustomerSuccess-0454","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0455","GRP-CustomerSuccess-0455","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0456","GRP-HR-0456","HR","Distribution","HR Department Group","Active"
"GRP-0457","GRP-Legal-0457","Legal","Distribution","Legal Department Group","Active"
"GRP-0458","GRP-Finance-0458","Finance","Security","Finance Department Group","Active"
"GRP-0459","GRP-Operations-0459","Operations","Distribution","Operations Department Group","Active"
"GRP-0460","GRP-Sales-0460","Sales","Distribution","Sales Department Group","Active"
"GRP-0461","GRP-Operations-0461","Operations","Security","Operations Department Group","Active"
"GRP-0462","GRP-CustomerSuccess-0462","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0463","GRP-Operations-0463","Operations","Distribution","Operations Department Group","Active"
"GRP-0464","GRP-Engineering-0464","Engineering","Security","Engineering Department Group","Active"
"GRP-0465","GRP-Marketing-0465","Marketing","Security","Marketing Department Group","Active"
"GRP-0466","GRP-CustomerSuccess-0466","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0467","GRP-Sales-0467","Sales","Distribution","Sales Department Group","Active"
"GRP-0468","GRP-HR-0468","HR","Security","HR Department Group","Active"
"GRP-0469","GRP-IT-0469","IT","Distribution","IT Department Group","Active"
"GRP-0470","GRP-Security-0470","Security","Distribution","Security Department Group","Active"
"GRP-0471","GRP-IT-0471","IT","Security","IT Department Group","Active"
"GRP-0472","GRP-Legal-0472","Legal","Distribution","Legal Department Group","Active"
"GRP-0473","GRP-IT-0473","IT","Distribution","IT Department Group","Active"
"GRP-0474","GRP-Legal-0474","Legal","Security","Legal Department Group","Active"
"GRP-0475","GRP-CustomerSuccess-0475","CustomerSuccess","Security","CustomerSuccess Department Group","Active"
"GRP-0476","GRP-Sales-0476","Sales","Distribution","Sales Department Group","Active"
"GRP-0477","GRP-Operations-0477","Operations","Security","Operations Department Group","Active"
"GRP-0478","GRP-Operations-0478","Operations","Security","Operations Department Group","Active"
"GRP-0479","GRP-HR-0479","HR","Distribution","HR Department Group","Active"
"GRP-0480","GRP-Sales-0480","Sales","Security","Sales Department Group","Active"
"GRP-0481","GRP-Marketing-0481","Marketing","Security","Marketing Department Group","Active"
"GRP-0482","GRP-IT-0482","IT","Distribution","IT Department Group","Active"
"GRP-0483","GRP-HR-0483","HR","Security","HR Department Group","Active"
"GRP-0484","GRP-CustomerSuccess-0484","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0485","GRP-Legal-0485","Legal","Security","Legal Department Group","Active"
"GRP-0486","GRP-Operations-0486","Operations","Security","Operations Department Group","Active"
"GRP-0487","GRP-Legal-0487","Legal","Security","Legal Department Group","Active"
"GRP-0488","GRP-Engineering-0488","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0489","GRP-CustomerSuccess-0489","CustomerSuccess","Distribution","CustomerSuccess Department Group","Active"
"GRP-0490","GRP-Engineering-0490","Engineering","Distribution","Engineering Department Group","Active"
"GRP-0491","GRP-Operations-0491","Operations","Distribution","Operations Department Group","Active"
"GRP-0492","GRP-IT-0492","IT","Security","IT Department Group","Active"
"GRP-0493","GRP-Sales-0493","Sales","Security","Sales Department Group","Active"
"GRP-0494","GRP-Marketing-0494","Marketing","Distribution","Marketing Department Group","Active"
"GRP-0495","GRP-IT-0495","IT","Security","IT Department Group","Active"
"GRP-0496","GRP-HR-0496","HR","Security","HR Department Group","Active"
"GRP-0497","GRP-Finance-0497","Finance","Security","Finance Department Group","Active"
"GRP-0498","GRP-Legal-0498","Legal","Security","Legal Department Group","Active"
"GRP-0499","GRP-HR-0499","HR","Security","HR Department Group","Active"
"GRP-0500","GRP-Security-0500","Security","Security","Security Department Group","Active"
