"GroupID","GroupName","MemberCount","MembershipCategory","MembershipRisk"
"GRP-0448","GRP-CustomerSuccess-0448","2","Very Small","MEDIUM"
"GRP-0449","GRP-Operations-0449","38","Normal","LOW"
"GRP-0450","GRP-Finance-0450","1","Very Small","MEDIUM"
"GRP-0451","GRP-IT-0451","233","Very Large","MEDIUM"
"GRP-0452","GRP-HR-0452","180","Large","LOW"
"GRP-0453","GRP-IT-0453","32","Normal","LOW"
"GRP-0454","GRP-CustomerSuccess-0454","138","Large","LOW"
"GRP-0455","GRP-CustomerSuccess-0455","103","Large","LOW"
"GRP-0456","GRP-HR-0456","48","Normal","LOW"
"GRP-0457","GRP-Legal-0457","2","Very Small","MEDIUM"
"GRP-0458","GRP-Finance-0458","46","Normal","LOW"
"GRP-0459","GRP-Operations-0459","4","Very Small","MEDIUM"
"GRP-0460","GRP-Sales-0460","44","Normal","LOW"
"GRP-0461","GRP-Operations-0461","27","Normal","LOW"
"GRP-0462","GRP-CustomerSuccess-0462","120","Large","LOW"
"GRP-0463","GRP-Operations-0463","108","Large","LOW"
"GRP-0464","GRP-Engineering-0464","5","Very Small","MEDIUM"
"GRP-0465","GRP-Marketing-0465","25","Normal","LOW"
"GRP-0466","GRP-CustomerSuccess-0466","26","Normal","LOW"
"GRP-0467","GRP-Sales-0467","172","Large","LOW"
"GRP-0468","GRP-HR-0468","27","Normal","LOW"
"GRP-0469","GRP-IT-0469","0","Empty Group","HIGH"
"GRP-0470","GRP-Security-0470","21","Normal","LOW"
"GRP-0471","GRP-IT-0471","135","Large","LOW"
"GRP-0472","GRP-Legal-0472","11","Normal","LOW"
"GRP-0473","GRP-IT-0473","91","Large","LOW"
"GRP-0474","GRP-Legal-0474","40","Normal","LOW"
"GRP-0475","GRP-CustomerSuccess-0475","185","Large","LOW"
"GRP-0476","GRP-Sales-0476","68","Large","LOW"
"GRP-0477","GRP-Operations-0477","156","Large","LOW"
"GRP-0478","GRP-Operations-0478","45","Normal","LOW"
"GRP-0479","GRP-HR-0479","0","Empty Group","HIGH"
"GRP-0480","GRP-Sales-0480","18","Normal","LOW"
"GRP-0481","GRP-Marketing-0481","75","Large","LOW"
"GRP-0482","GRP-IT-0482","49","Normal","LOW"
"GRP-0483","GRP-HR-0483","43","Normal","LOW"
"GRP-0484","GRP-CustomerSuccess-0484","175","Large","LOW"
"GRP-0485","GRP-Legal-0485","126","Large","LOW"
"GRP-0486","GRP-Operations-0486","317","Very Large","MEDIUM"
"GRP-0487","GRP-Legal-0487","43","Normal","LOW"
"GRP-0488","GRP-Engineering-0488","78","Large","LOW"
"GRP-0489","GRP-CustomerSuccess-0489","12","Normal","LOW"
"GRP-0490","GRP-Engineering-0490","30","Normal","LOW"
"GRP-0491","GRP-Operations-0491","46","Normal","LOW"
"GRP-0492","GRP-IT-0492","0","Empty Group","HIGH"
"GRP-0493","GRP-Sales-0493","20","Normal","LOW"
"GRP-0494","GRP-Marketing-0494","178","Large","LOW"
"GRP-0495","GRP-IT-0495","34","Normal","LOW"
"GRP-0496","GRP-HR-0496","33","Normal","LOW"
"GRP-0497","GRP-Finance-0497","28","Normal","LOW"
"GRP-0498","GRP-Legal-0498","43","Normal","LOW"
"GRP-0499","GRP-HR-0499","200","Large","LOW"
"GRP-0500","GRP-Security-0500","4","Very Small","MEDIUM"
