"GroupID","GroupName","OwnershipStatus","MembershipCategory","RiskScore","RiskLevel"
"GRP-0369","GRP-HR-0369","Valid Owner","Normal","0","LOW"
"GRP-0370","GRP-Finance-0370","Valid Owner","Large","5","LOW"
"GRP-0371","GRP-Finance-0371","Valid Owner","Large","5","LOW"
"GRP-0372","GRP-Engineering-0372","Valid Owner","Large","5","LOW"
"GRP-0373","GRP-Security-0373","Valid Owner","Large","5","LOW"
"GRP-0374","GRP-Engineering-0374","Valid Owner","Very Small","15","LOW"
"GRP-0375","GRP-Marketing-0375","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0376","GRP-CustomerSuccess-0376","Valid Owner","Large","5","LOW"
"GRP-0377","GRP-Legal-0377","Valid Owner","Large","5","LOW"
"GRP-0378","GRP-Sales-0378","Valid Owner","Very Small","15","LOW"
"GRP-0379","GRP-Security-0379","Valid Owner","Very Large","15","LOW"
"GRP-0380","GRP-Security-0380","Valid Owner","Large","5","LOW"
"GRP-0381","GRP-Security-0381","Valid Owner","Normal","0","LOW"
"GRP-0382","GRP-Operations-0382","Valid Owner","Large","5","LOW"
"GRP-0383","GRP-IT-0383","Valid Owner","Normal","0","LOW"
"GRP-0384","GRP-IT-0384","Valid Owner","Large","5","LOW"
"GRP-0385","GRP-Sales-0385","Valid Owner","Large","5","LOW"
"GRP-0386","GRP-Security-0386","Valid Owner","Very Large","15","LOW"
"GRP-0387","GRP-Finance-0387","Valid Owner","Normal","0","LOW"
"GRP-0388","GRP-Security-0388","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0389","GRP-Legal-0389","Valid Owner","Normal","0","LOW"
"GRP-0390","GRP-Operations-0390","Multiple Owners","Very Small","40","MEDIUM"
"GRP-0391","GRP-Operations-0391","Valid Owner","Large","5","LOW"
"GRP-0392","GRP-Sales-0392","Valid Owner","Normal","0","LOW"
"GRP-0393","GRP-Sales-0393","Valid Owner","Large","5","LOW"
"GRP-0394","GRP-HR-0394","Multiple Owners","Very Large","40","MEDIUM"
"GRP-0395","GRP-IT-0395","Valid Owner","Normal","0","LOW"
"GRP-0396","GRP-Operations-0396","Valid Owner","Normal","0","LOW"
"GRP-0397","GRP-Finance-0397","Valid Owner","Large","5","LOW"
"GRP-0398","GRP-Engineering-0398","Valid Owner","Normal","0","LOW"
"GRP-0399","GRP-Operations-0399","Valid Owner","Very Large","15","LOW"
"GRP-0400","GRP-Sales-0400","Valid Owner","Normal","0","LOW"
"GRP-0401","GRP-Legal-0401","Valid Owner","Normal","0","LOW"
"GRP-0402","GRP-Finance-0402","Valid Owner","Large","5","LOW"
"GRP-0403","GRP-Security-0403","Valid Owner","Very Small","15","LOW"
"GRP-0404","GRP-Security-0404","Valid Owner","Normal","0","LOW"
"GRP-0405","GRP-Security-0405","Valid Owner","Normal","0","LOW"
"GRP-0406","GRP-IT-0406","Valid Owner","Normal","0","LOW"
"GRP-0407","GRP-CustomerSuccess-0407","Valid Owner","Very Small","15","LOW"
"GRP-0408","GRP-IT-0408","Valid Owner","Very Small","15","LOW"
"GRP-0409","GRP-HR-0409","Valid Owner","Very Small","15","LOW"
"GRP-0410","GRP-Operations-0410","Valid Owner","Large","5","LOW"
"GRP-0411","GRP-IT-0411","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0412","GRP-IT-0412","Valid Owner","Large","5","LOW"
"GRP-0413","GRP-Engineering-0413","Valid Owner","Large","5","LOW"
"GRP-0414","GRP-Engineering-0414","Valid Owner","Very Small","15","LOW"
"GRP-0415","GRP-Operations-0415","Valid Owner","Normal","0","LOW"
"GRP-0416","GRP-Operations-0416","Valid Owner","Large","5","LOW"
"GRP-0417","GRP-Operations-0417","Valid Owner","Very Small","15","LOW"
"GRP-0418","GRP-HR-0418","Valid Owner","Normal","0","LOW"
"GRP-0419","GRP-Engineering-0419","Valid Owner","Large","5","LOW"
"GRP-0420","GRP-HR-0420","Valid Owner","Very Small","15","LOW"
"GRP-0421","GRP-Operations-0421","Valid Owner","Normal","0","LOW"
"GRP-0422","GRP-HR-0422","Valid Owner","Large","5","LOW"
"GRP-0423","GRP-Legal-0423","Valid Owner","Very Small","15","LOW"
"GRP-0424","GRP-Operations-0424","Valid Owner","Normal","0","LOW"
"GRP-0425","GRP-IT-0425","Valid Owner","Normal","0","LOW"
"GRP-0426","GRP-Security-0426","Valid Owner","Normal","0","LOW"
"GRP-0427","GRP-Legal-0427","Valid Owner","Normal","0","LOW"
"GRP-0428","GRP-Security-0428","Valid Owner","Large","5","LOW"
"GRP-0429","GRP-HR-0429","Valid Owner","Very Small","15","LOW"
"GRP-0430","GRP-Finance-0430","Valid Owner","Very Small","15","LOW"
"GRP-0431","GRP-IT-0431","Valid Owner","Normal","0","LOW"
"GRP-0432","GRP-IT-0432","Valid Owner","Normal","0","LOW"
"GRP-0433","GRP-Sales-0433","Valid Owner","Normal","0","LOW"
"GRP-0434","GRP-Marketing-0434","Valid Owner","Very Large","15","LOW"
"GRP-0435","GRP-Legal-0435","Valid Owner","Normal","0","LOW"
"GRP-0436","GRP-CustomerSuccess-0436","Valid Owner","Very Small","15","LOW"
"GRP-0437","GRP-HR-0437","Valid Owner","Normal","0","LOW"
"GRP-0438","GRP-Security-0438","Valid Owner","Large","5","LOW"
"GRP-0439","GRP-CustomerSuccess-0439","Valid Owner","Normal","0","LOW"
"GRP-0440","GRP-Marketing-0440","Valid Owner","Large","5","LOW"
"GRP-0441","GRP-CustomerSuccess-0441","Valid Owner","Normal","0","LOW"
"GRP-0442","GRP-HR-0442","Valid Owner","Normal","0","LOW"
"GRP-0443","GRP-Finance-0443","Valid Owner","Large","5","LOW"
"GRP-0444","GRP-HR-0444","Valid Owner","Large","5","LOW"
"GRP-0445","GRP-HR-0445","Valid Owner","Normal","0","LOW"
"GRP-0446","GRP-Sales-0446","Valid Owner","Normal","0","LOW"
"GRP-0447","GRP-Legal-0447","Valid Owner","Normal","0","LOW"
"GRP-0448","GRP-CustomerSuccess-0448","Valid Owner","Very Small","15","LOW"
"GRP-0449","GRP-Operations-0449","Valid Owner","Normal","0","LOW"
"GRP-0450","GRP-Finance-0450","Valid Owner","Very Small","15","LOW"
"GRP-0451","GRP-IT-0451","Valid Owner","Very Large","15","LOW"
"GRP-0452","GRP-HR-0452","Valid Owner","Large","5","LOW"
"GRP-0453","GRP-IT-0453","Valid Owner","Normal","0","LOW"
"GRP-0454","GRP-CustomerSuccess-0454","Valid Owner","Large","5","LOW"
"GRP-0455","GRP-CustomerSuccess-0455","Valid Owner","Large","5","LOW"
"GRP-0456","GRP-HR-0456","Valid Owner","Normal","0","LOW"
"GRP-0457","GRP-Legal-0457","Valid Owner","Very Small","15","LOW"
"GRP-0458","GRP-Finance-0458","Valid Owner","Normal","0","LOW"
"GRP-0459","GRP-Operations-0459","Multiple Owners","Very Small","40","MEDIUM"
"GRP-0460","GRP-Sales-0460","Valid Owner","Normal","0","LOW"
"GRP-0461","GRP-Operations-0461","Valid Owner","Normal","0","LOW"
"GRP-0462","GRP-CustomerSuccess-0462","Valid Owner","Large","5","LOW"
"GRP-0463","GRP-Operations-0463","Valid Owner","Large","5","LOW"
"GRP-0464","GRP-Engineering-0464","Valid Owner","Very Small","15","LOW"
"GRP-0465","GRP-Marketing-0465","Valid Owner","Normal","0","LOW"
"GRP-0466","GRP-CustomerSuccess-0466","Valid Owner","Normal","0","LOW"
"GRP-0467","GRP-Sales-0467","Valid Owner","Large","5","LOW"
"GRP-0468","GRP-HR-0468","Valid Owner","Normal","0","LOW"
"GRP-0469","GRP-IT-0469","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0470","GRP-Security-0470","Valid Owner","Normal","0","LOW"
"GRP-0471","GRP-IT-0471","Valid Owner","Large","5","LOW"
"GRP-0472","GRP-Legal-0472","Valid Owner","Normal","0","LOW"
"GRP-0473","GRP-IT-0473","Valid Owner","Large","5","LOW"
"GRP-0474","GRP-Legal-0474","Valid Owner","Normal","0","LOW"
"GRP-0475","GRP-CustomerSuccess-0475","Valid Owner","Large","5","LOW"
"GRP-0476","GRP-Sales-0476","Valid Owner","Large","5","LOW"
"GRP-0477","GRP-Operations-0477","Valid Owner","Large","5","LOW"
"GRP-0478","GRP-Operations-0478","Valid Owner","Normal","0","LOW"
"GRP-0479","GRP-HR-0479","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0480","GRP-Sales-0480","Valid Owner","Normal","0","LOW"
"GRP-0481","GRP-Marketing-0481","Valid Owner","Large","5","LOW"
"GRP-0482","GRP-IT-0482","Valid Owner","Normal","0","LOW"
"GRP-0483","GRP-HR-0483","Valid Owner","Normal","0","LOW"
"GRP-0484","GRP-CustomerSuccess-0484","Valid Owner","Large","5","LOW"
"GRP-0485","GRP-Legal-0485","Valid Owner","Large","5","LOW"
"GRP-0486","GRP-Operations-0486","Valid Owner","Very Large","15","LOW"
"GRP-0487","GRP-Legal-0487","Valid Owner","Normal","0","LOW"
"GRP-0488","GRP-Engineering-0488","Valid Owner","Large","5","LOW"
"GRP-0489","GRP-CustomerSuccess-0489","Valid Owner","Normal","0","LOW"
"GRP-0490","GRP-Engineering-0490","Valid Owner","Normal","0","LOW"
"GRP-0491","GRP-Operations-0491","Valid Owner","Normal","0","LOW"
"GRP-0492","GRP-IT-0492","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0493","GRP-Sales-0493","Valid Owner","Normal","0","LOW"
"GRP-0494","GRP-Marketing-0494","Valid Owner","Large","5","LOW"
"GRP-0495","GRP-IT-0495","Valid Owner","Normal","0","LOW"
"GRP-0496","GRP-HR-0496","Valid Owner","Normal","0","LOW"
"GRP-0497","GRP-Finance-0497","Valid Owner","Normal","0","LOW"
"GRP-0498","GRP-Legal-0498","Valid Owner","Normal","0","LOW"
"GRP-0499","GRP-HR-0499","Valid Owner","Large","5","LOW"
"GRP-0500","GRP-Security-0500","Valid Owner","Very Small","15","LOW"
